Ruc|Nombre/Razon|A partir del|Resolucion|
20505182724|CORPORACION RUTTA S.A.C.|01/02/2015|RS R.S.395-2014|
20261122651|CORPORACION SAGRA S.A.|01/06/2012|RS R.S.096-2012|
20100083362|CORPORACION SAPIA S.A.|01/06/2002|RS R.S.037-2002|
20600862813|CORPORACION SIC S.A.C.|01/12/2019|RS R.S.203-2019|
20420039728|CORPORACION TDN S.A.C.|01/11/2012|RS R.S.228-2012|
20516758865|CORPORACION TEXTIL DEL SUR S.A.C.|01/02/2015|RS R.S.395-2014|
20516775875|CORPORACION TEXTIL ESPAIN & ESPINOZA S.A.C.|01/07/2015|RS R.S.139-2015|
20382355751|CORPORACION TEXTIL IMPERIO DEL SOL S.A.|01/07/2015|RS R.S.139-2015|
20503800331|CORPORACION TEXTIL T & C S.A.C EN LIQUIDACION|01/09/2016|RS R.S.180-2016|
20390386924|CORPORACION TRANSPORTE TERRESTRE S.A.C.|01/11/2012|RS R.S.228-2012|
20265815830|CORPORACION TURISTICA PERUANA S.A.C|01/02/2015|RS R.S.395-2014|
20479381390|CORPORACION UNIVERSAL S.A.C.|01/02/2015|RS R.S.395-2014|
20502257987|CORPORACION VEGA S.A.C.|01/01/2007|RS R.S.219-2006|
20454252749|CORPORACION VIDRIO GLASS S.A.C.|01/02/2015|RS R.S.395-2014|
20549980822|CORPORACION VIMODA S.A.C.|01/06/2017|RS R.S.095-2017|
20374343964|CORPORACION WAMA S.A.C.|01/12/2011|RS R.S.257-2011|
20506421781|CORPORACI�N RICO S.A.C.|01/05/2011|RS R.S.082-2011|
20530713254|CORPORACI�N UCAYALI S.R.L. - EN LIQUIDACION|01/09/2018|RS R.S.182-2018|
20515774182|CORPORATION INTHERPHARMA SOCIEDAD ANONIMA CERRADA|01/12/2011|RS R.S.257-2011|
20358000348|CORRALES INGENIEROS S.R.L.|01/09/2010|RS R.S.217-2010|
20509608467|CORREDORES DE SEGUROS FALABELLA S.A.C.|01/02/2015|RS R.S.395-2014|
20550734223|CORTE SUPERIOR DE JUSTICIA DE LIMA NORTE|01/12/2019|RS R.S.203-2019|
20600170458|CORVAL PHARMACEUTICAL S.A.C.|01/09/2018|RS R.S.182-2018|
20552714378|COSAPI MINERIA S.A.C.|01/02/2015|RS R.S.395-2014|
20100082391|COSAPI S A|01/03/2014|RS R.S.378-2013|
20100010136|COSMOS AGENCIA MARITIMA SAC|01/06/2002|RS R.S.037-2002|
20392783084|COSMOTRADE S.A.C.|01/09/2016|RS R.S.180-2016|
20231843460|COSTA DEL SOL S A|01/02/2015|RS R.S.395-2014|
20541678817|COSTA GAS CHIMBOTE S.A.C.|01/09/2016|RS R.S.180-2016|
20526317930|COSTA MIRA SOCIEDAD ANONIMA CERRADA|01/07/2015|RS R.S.139-2015|
20126339632|COSTAMAR TRAVEL CRUISE & TOURS S.A.C.|01/06/2002|RS R.S.037-2002|
20536727524|COSTE�O ALIMENTOS S.A.C.|01/11/2012|RS R.S.228-2012|
20101635440|COTTON KNIT S.A.C.|01/06/2002|RS R.S.037-2002|
20507965581|COTTON MIX SOCIEDAD ANONIMA CERRADA|01/06/2017|RS R.S.095-2017|
20463541681|COTTON PROJECT S.A.C.|01/03/2014|RS R.S.378-2013|
20148020028|COUNTRY CLUB DE VILLA|01/02/2015|RS R.S.395-2014|
20101037623|CPVEN SERVICIOS PETROLEROS S.A.C.|01/11/2012|RS R.S.228-2012|
20506483205|CPX PERU S.A.C.|01/03/2014|RS R.S.378-2013|
20111052621|CR SERVICE SOCIEDAD ANONIMA CERRADA EN LIQUIDACION|01/06/2012|RS R.S.096-2012|
20538628370|CREACIONES MELEAND S.A.C.|01/09/2016|RS R.S.180-2016|
20499358114|CREATIVIDAD TEXTIL INDUS.IMPOR.EXPOR.SAC|01/09/2016|RS R.S.180-2016|
20600193512|CREATRA S.A.C|01/09/2018|RS R.S.182-2018|
20255993225|CREDISCOTIA FINANCIERA S.A.|01/06/2002|RS R.S.037-2002|
20133530003|CREDITEX S.A.A.|01/06/2002|RS R.S.037-2002|
20513607882|CREMOLATTI S.A.C. EN LIQUIDACION|01/09/2018|RS R.S.182-2018|
20146123351|CRIADOR EL GUAMITO S.A.C.|01/03/2014|RS R.S.378-2013|
20520628291|CRISOL COMERCIAL PERU S.A.C.|01/06/2017|RS R.S.095-2017|
20554278524|CRISTALES Y VIDRIOS DEL PERU S.A.C.|01/09/2016|RS R.S.180-2016|
20502913752|CROSLAND AUTOMOTRIZ S.A.C.|01/06/2012|RS R.S.096-2012|
20507398210|CROSLAND MOTOS S.A.C.|01/01/2010|RS R.S.265-2009|
20382350368|CRP MEDIOS Y ENTRETENIMIENTO S.A.C.|01/06/2002|RS R.S.037-2002|
20101165389|CSALUD S.A.|01/12/2019|RS R.S.203-2019|
20523833589|CSI RENTING PERU S.A.C.|01/11/2012|RS R.S.228-2012|
20493654463|CSM CORPORACION ORIENTE S.A.C.|01/06/2017|RS R.S.095-2017|
20565413903|CUEROS SUPERIOR S.A.C.|01/09/2016|RS R.S.180-2016|
20519330874|CULTIMARINE S.A.C.|01/03/2014|RS R.S.378-2013|
20504342060|CULTIVOS ECOLOGICOS DEL PERU S.A.C|01/02/2015|RS R.S.395-2014|
20107314378|CULTURAL EDUCACIONAL WINDSOR DEL PERU S.A.C.|01/07/2015|RS R.S.139-2015|
20100356270|CUMBRA INGENIERIA S.A.|01/09/2010|RS R.S.217-2010|
20100154057|CUMBRA PER� S.A.|01/09/2004|RS R.S.184-2004|
20521645831|CUPRICA S.A.C.|01/12/2011|RS R.S.257-2011|
20100042763|CURTIDURIA EL PORVENIR S A|01/09/2016|RS R.S.180-2016|
20454159455|CURTIEMBRE AUSTRAL S.R.L.|01/02/2015|RS R.S.395-2014|
20131564504|CURTIEMBRE CHIMU MURGIA HNOS. S.A.C. - EN LIQUIDACION|01/06/2017|RS R.S.095-2017|
20104624104|CURTIEMBRE LA PISQUENA SA|01/02/2015|RS R.S.395-2014|
20503620350|CU�ADO PERU S.A.|01/06/2017|RS R.S.095-2017|
20529965380|CV&G CONSTRUCTORES Y CONSULTORES EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA|01/09/2016|RS R.S.180-2016|
20451816005|CYTEC PERU S.A.C.|01/09/2016|RS R.S.180-2016|
20502097921|D & L TRADING S.R.L.|01/09/2016|RS R.S.180-2016|
20498395458|D Y M MAQUINARIA Y MINERIA S.A.C.|01/11/2012|RS R.S.228-2012|
20503125936|D' COMPRAS FASHION WEAR S.A.|01/12/2011|RS R.S.257-2011|
20412524218|D.C.R. MINERIA Y CONSTRUCCION S.A.C.|01/02/2015|RS R.S.395-2014|
20556601152|DAIKIN AIRCONDITIONING PERU S.A.C.|01/09/2016|RS R.S.180-2016|
20600001427|DALIKA PERU S.A.C.|01/09/2016|RS R.S.180-2016|
20389748669|DALKA S.A.C.|01/02/2015|RS R.S.395-2014|
20509767263|DANISCO PERU S.A.C|01/09/2016|RS R.S.180-2016|
20477542833|DANPER AGRICOLA LA VENTUROSA S.A.C.|01/06/2017|RS R.S.095-2017|
20481464499|DANPER AREQUIPA S.A.C.|01/06/2012|RS R.S.096-2012|
20170040938|DANPER TRUJILLO S.A.C.|01/02/2003|RS R.S.181-2002|
20551958541|DARNEL PERU S.A.C.|01/09/2016|RS R.S.180-2016|
20536456407|DART CUERO S.A.C.|01/09/2016|RS R.S.180-2016|
20144109458|DARYZA S.A.C.|01/11/2012|RS R.S.228-2012|
20100131359|DATACONT S.A.C.|01/06/2002|RS R.S.037-2002|
20518240839|DATAIMAGENES S.A.C. EN LIQUIDACION|01/11/2012|RS R.S.228-2012|
20548187266|DE VICENTE CONSTRUCTORA SOCIEDAD ANONIMA CERRADA - DE VICENTE CONSTRUCTORA S.A.C.|01/02/2015|RS R.S.395-2014|
20108018772|DECORLUX S.A.C. EN LIQUIDACION|01/06/2002|RS R.S.037-2002|
20304117142|DEFENSORIA DEL PUEBLO|01/06/2002|RS R.S.037-2002|
20135359492|DEGREMONT PERU S.A.C.|01/09/2016|RS R.S.180-2016|
20504107494|DEL ANDE ALIMENTOS S.A.C.|01/07/2015|RS R.S.139-2015|
20483831146|DEL VALLE SOCIEDAD ANONIMA CERRADA|01/07/2015|RS R.S.139-2015|
20493428536|DELFIN AMAZON CRUISES S.A.C.|01/09/2016|RS R.S.180-2016|
20602602941|DELIVERY HERO DMART PERU S.A.C.|01/12/2019|RS R.S.203-2019|
20510430655|DELL PERU S.A.C|01/03/2014|RS R.S.378-2013|
20600675274|DELL'ACQUA C.A. SUCURSAL DEL PERU|01/06/2017|RS R.S.095-2017|
20106910872|DELOITTE & TOUCHE S.R.L.|01/06/2002|RS R.S.037-2002|
20100123330|DELOSI S.A.|01/06/2002|RS R.S.037-2002|
20387428331|DELTA AIR LINES INC. SUCURSAL DEL PERU|01/06/2002|RS R.S.037-2002|
20509675491|DELTA ELECTRONICS (PERU) INC. S.R.L.|01/03/2014|RS R.S.378-2013|
20101759173|DEMEM S A|01/06/2002|RS R.S.037-2002|
20131719559|DEPOSITO PAKATNAMU S.A.C|01/06/2012|RS R.S.096-2012|
20419952461|DEPOSITOS QUIMICOS MINEROS S.A.|01/02/2015|RS R.S.395-2014|
20100044626|DEPOSITOS S.A.C.|01/06/2002|RS R.S.037-2002|
20344877158|DERCO PERU S.A.|01/06/2002|RS R.S.037-2002|
20548527113|DERCOCENTER S.A.C.|01/07/2015|RS R.S.139-2015|
20136424867|DERRAMA MAGISTERIAL|01/06/2003|RS R.S.101-2003|
20103829802|DERTEANO & STUCKER (IQUITOS) S.A.C|01/09/2016|RS R.S.180-2016|
20517314413|DESARROLLO SERVICIOS INVERSIONES Y TELECOMUNICACIONES PERU S.A.C.|01/02/2015|RS R.S.395-2014|
20537464543|DESARROLLO VIAL DE LOS ANDES S.A.C.|01/07/2015|RS R.S.139-2015|
20549575308|DESARROLLOS TERRESTRES PERU S.A.|01/07/2015|RS R.S.139-2015|
20517831582|DESCA PERU S.A.C.|01/12/2019|RS R.S.203-2019|
20161704378|DESPACHO PRESIDENCIAL|01/11/2002|RS R.S.135-2002|
20524386241|DESTILERIA LA CARAVEDO S.R.L|01/12/2011|RS R.S.257-2011|
20501977439|DEVANLAY PERU S.A.C.|01/10/2005|RS R.S.174-2005|
20102881690|DEXIM SRL|01/02/2015|RS R.S.395-2014|
20510069251|DH EMPRESAS PERU S.A.|01/12/2011|RS R.S.257-2011|
20101128777|DHL EXPRESS PER� S.A.C.|01/06/2002|RS R.S.037-2002|
20307328471|DHL GLOBAL FORWARDING PERU S.A.|01/06/2012|RS R.S.096-2012|
20263158327|DIAGEO PERU S.A.|01/06/2002|RS R.S.037-2002|
20384734503|DIAMANTE DEL PACIFICO S.A.|01/09/2010|RS R.S.217-2010|
20101161634|DIAR INGENIEROS S A|01/06/2002|RS R.S.037-2002|
10178827320|DIAZ MARI�OS CARLOS ALBERTO|01/02/2015|RS R.S.395-2014|
20100220700|DIMEXA S.A.|01/06/2012|RS R.S.096-2012|
20100118760|DINERS CLUB PERU S A|01/06/2002|RS R.S.037-2002|
20427919111|DINET S.A.|01/06/2002|RS R.S.037-2002|
20199565398|DIR.SUB-REG.DE SALUD LUCIANO CASTILLO C.|01/11/2002|RS R.S.135-2002|
20408454299|DIRECC. DE ADMINISTRAC.GENERAL DE SALUD|01/11/2002|RS R.S.135-2002|
20350916700|DIRECC. REG. ORIENTE PUCALLPA (INPE)|01/12/2019|RS R.S.203-2019|
20428696515|DIRECCION DE AVIACION POLICIAL|01/02/2015|RS R.S.395-2014|
20602236596|DIRECCION DE REDES INTEGRADAS DE SALUD LIMA ESTE|01/12/2019|RS R.S.203-2019|
20602217508|DIRECCION DE REDES INTEGRADAS DE SALUD LIMA NORTE|01/12/2019|RS R.S.203-2019|
20177030563|DIRECCION DE SALUD II LIMA SUR|01/11/2002|RS R.S.135-2002|
20556118079|DIRECCION EJECUTIVA DE INVESTIGACION CRIMINAL Y APOYO A LA JUSTICIA PNP - DIREICAJ  PNP|01/09/2018|RS R.S.182-2018|
20517754499|DIRECCION GENERAL DE ELECTRIFICACION RURAL|01/12/2019|RS R.S.203-2019|
20453743862|DIRECCION REGIONAL DE AGRICULTURA CAJAMARCA|01/12/2019|RS R.S.203-2019|
20530944817|DIRECCION REGIONAL DE AGRICULTURA DE LIMA|01/12/2019|RS R.S.203-2019|
20332678516|DIRECCION REGIONAL DE EDUCACION DEL CALLAO|01/11/2002|RS R.S.135-2002|
20325722941|DIRECCION REGIONAL DE EDUCACION TACNA|01/11/2002|RS R.S.135-2002|
20165645325|DIRECCION REGIONAL DE SALUD - CAJAMARCA|01/09/2018|RS R.S.182-2018|
20156003817|DIRECCION REGIONAL DE SALUD ANCASH|01/11/2002|RS R.S.135-2002|
20162086716|DIRECCION REGIONAL DE SALUD DE LIMA|01/11/2002|RS R.S.135-2002|
20407625235|DIRECCION REGIONAL DE SALUD HUANCAVELICA|01/11/2012|RS R.S.228-2012|
20171178585|DIRECCION REGIONAL DE SALUD ICA|01/11/2002|RS R.S.135-2002|
20171880891|DIRECCION REGIONAL DE SALUD MOQUEGUA|01/11/2002|RS R.S.135-2002|
20171766509|DIRECCION REGIONAL DE SALUD PIURA|01/11/2002|RS R.S.135-2002|
20195189146|DIRECCION REGIONAL DE SALUD TACNA|01/11/2002|RS R.S.135-2002|
20171001065|DIRECCION REGIONAL DE SALUD TUMBES|01/11/2012|RS R.S.228-2012|
20198261476|DIRECCION REGIONAL DE SALUD UCAYALI|01/11/2002|RS R.S.135-2002|
20172373144|DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACION|01/09/2018|RS R.S.182-2018|
20369027957|DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES|01/12/2019|RS R.S.203-2019|
20399849382|DIRECCION REGIONAL SUR ORIENTE-INPE|01/12/2019|RS R.S.203-2019|
20602250602|DIRECCI�N DE REDES INTEGRADAS DE SALUD LIMA CENTRO|01/12/2019|RS R.S.203-2019|
20181079968|DIRECCI�N REGIONAL DE SALUD AYACUCHO|01/09/2018|RS R.S.182-2018|
20147907487|DIRECCI�N REGIONAL DE SALUD DEL CALLAO - DIRESA CALLAO|01/11/2002|RS R.S.135-2002|
20510944764|DIRECTV PERU S.R.L.|01/05/2011|RS R.S.082-2011|
20406328083|DIREPSUR S.C.R.LTDA.|01/09/2016|RS R.S.180-2016|
20507141791|DISAN PERU S.A|01/09/2016|RS R.S.180-2016|
20556622745|DISANU S.A.C.|01/09/2016|RS R.S.180-2016|
20511718458|DISMAC PERU SOCIEDAD ANONIMA CERRADA - DISMAC PERU S.A.C.|01/03/2014|RS R.S.378-2013|
20100020441|DISTRIBUCIONES DIESEL PERU S.A.C.|01/06/2002|RS R.S.037-2002|
20452613361|DISTRIBUCIONES G & A S.A.C.|01/03/2014|RS R.S.378-2013|
20534348356|DISTRIBUCIONES KENOR S.A.|01/06/2017|RS R.S.095-2017|
20479378411|DISTRIBUCIONES M. OLANO SAC|01/06/2012|RS R.S.096-2012|
20103365628|DISTRIBUCIONES OLANO S.A.C.|01/12/2011|RS R.S.257-2011|
20263565712|DISTRIBUCIONES QUINTANA SOCIEDAD ANONIMA CERRADA|01/02/2015|RS R.S.395-2014|
20366131222|DISTRIBUCIONES QUISPE S.A.C.|01/02/2015|RS R.S.395-2014|
20516827425|DISTRIBUCIONES Y REPRESENTACIONES PORLLES SOCIEDAD ANONIMA CERRADA-DIREPOR S.A.C.|01/11/2012|RS R.S.228-2012|
20511375828|DISTRIBUIDOR FERRETERO FRANCO S.A.C.|01/06/2017|RS R.S.095-2017|
20505842325|DISTRIBUIDORA ALMENDARIZ S.A.C.|01/06/2012|RS R.S.096-2012|
20532823189|DISTRIBUIDORA CEBU S. A. C.|01/09/2016|RS R.S.180-2016|
20100067081|DISTRIBUIDORA CONTINENTAL 6 S A|01/06/2002|RS R.S.037-2002|
20543725821|DISTRIBUIDORA CUMMINS PERU S.A.C|01/11/2012|RS R.S.228-2012|
20402455536|DISTRIBUIDORA D.R. MARRACHE SAC|01/09/2018|RS R.S.182-2018|
20542467496|DISTRIBUIDORA DE ALIMENTOS CHICOMA SOCIEDAD ANONIMA CERRADA|01/09/2018|RS R.S.182-2018|
20528166378|DISTRIBUIDORA DE CALZADOS ENZO EIRL|01/06/2017|RS R.S.095-2017|
20108983583|DISTRIBUIDORA DROGUERIA ALFARO S.A.C.|01/06/2002|RS R.S.037-2002|
20481555371|DISTRIBUIDORA DROGUERIA LAS AMERICAS S.A.C.|01/06/2012|RS R.S.096-2012|
20123110367|DISTRIBUIDORA EKAMA S.A.|01/11/2012|RS R.S.228-2012|
20467539842|DISTRIBUIDORA EXCLUSIVA DE PRODUCTOS DE CALIDAD SOCIEDAD ANONIMA CERRADA|01/08/2006|RS R.S.091-2006|
20397180817|DISTRIBUIDORA FARMACEUTICA LA LIBERTAD S.R.L.|01/06/2012|RS R.S.096-2012|
20481409714|DISTRIBUIDORA FARMACOS DEL NORTE S.A.C.|01/09/2016|RS R.S.180-2016|
20134309181|DISTRIBUIDORA FERRETERA SAN AGUSTIN SRL|01/06/2017|RS R.S.095-2017|
20513340355|DISTRIBUIDORA GOMIVI S.R.L|01/11/2012|RS R.S.228-2012|
20100045193|DISTRIBUIDORA INCORESA S A|01/06/2002|RS R.S.037-2002|
20302723070|DISTRIBUIDORA J.D.J EIRL|01/01/2010|RS R.S.265-2009|
20516872307|DISTRIBUIDORA JANDY SAC|01/06/2012|RS R.S.096-2012|
20502312830|DISTRIBUIDORA JIMENEZ E IRIARTE S.A.|01/12/2011|RS R.S.257-2011|
20600131681|DISTRIBUIDORA KATAL S.A. - DISKAT S.A.|01/06/2017|RS R.S.095-2017|
20393836831|DISTRIBUIDORA KHALID E.I.R.L|01/12/2019|RS R.S.203-2019|
20440199578|DISTRIBUIDORA LINARES S.A.C.|01/05/2011|RS R.S.082-2011|
20536439146|DISTRIBUIDORA M.J.D.J. E.I.R.L.|01/02/2015|RS R.S.395-2014|
20532896224|DISTRIBUIDORA MALIBU S.A.C.|01/09/2016|RS R.S.180-2016|
20493427645|DISTRIBUIDORA MARIDIOSE S.A.C.|01/06/2017|RS R.S.095-2017|
20269315688|DISTRIBUIDORA MESAJIL HNOS S.A.C.|01/06/2012|RS R.S.096-2012|
20492957314|DISTRIBUIDORA MOLI SOCIEDAD ANONIMA CERRADA - DISTRIBUIDORA MOLI S.A.C|01/11/2012|RS R.S.228-2012|
20508679514|DISTRIBUIDORA MURDOCK SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA/DISTRIBUIDORA MURDOCK S.R.L.|01/09/2018|RS R.S.182-2018|
20528367519|DISTRIBUIDORA N & E S.A.C.|01/06/2017|RS R.S.095-2017|
20100030676|DISTRIBUIDORA NAVARRETE S A|01/06/2012|RS R.S.096-2012|
20451373251|DISTRIBUIDORA NICO EIRL|01/06/2017|RS R.S.095-2017|
20131644524|DISTRIBUIDORA NORTE PACASMAYO SRL|01/02/2003|RS R.S.181-2002|
20493545257|DISTRIBUIDORA ORIENTAL SELVA S.R.L.|01/06/2017|RS R.S.095-2017|
20525970567|DISTRIBUIDORA OTOYA S.A.C.|01/06/2012|RS R.S.096-2012|
20373209601|DISTRIBUIDORA PACI S.R.LTDA|01/06/2012|RS R.S.096-2012|
20479354406|DISTRIBUIDORA PMA E.I.R.LTDA|01/06/2012|RS R.S.096-2012|
20122377238|DISTRIBUIDORA SUMON S.R.LTDA|01/11/2012|RS R.S.228-2012|
20506535876|DISTRIBUIDORA VENSO S.A.C.|01/07/2015|RS R.S.139-2015|
20511048207|DISTRIBUIDORA VICKY EVA SOCIEDAD ANONIMA CERRADA|01/11/2012|RS R.S.228-2012|
20392518500|DISYCON CONSTRUCCIONES SOCIEDAD ANONIMA CERRADA EN LIQUIDACION|01/02/2015|RS R.S.395-2014|
20505789092|DITRANSERVA SOCIEDAD ANONIMA CERRADA|01/06/2012|RS R.S.096-2012|
20520588486|DIVECENTER S.A.C.|01/06/2012|RS R.S.096-2012|
20502797230|DIVEIMPORT S.A.|01/08/2006|RS R.S.091-2006|
20266614803|DIVERSEY PERU S.A.C|01/03/2014|RS R.S.378-2013|
20495005217|DM AVICOLA  S.A.C|01/11/2012|RS R.S.228-2012|
20546139973|DOIL INTERNATIONAL S.A.C.|01/09/2016|RS R.S.180-2016|
20547373350|DOKA  PERU S.A.C.|01/02/2015|RS R.S.395-2014|
20547132158|DOMINIONPERU SOLUCIONES Y SERVICIOS S.A.C. - DOMINIONPERU S.A.C.|01/02/2015|RS R.S.395-2014|
20481065799|DOMINUS S.A.C|01/03/2014|RS R.S.378-2013|
20208672721|DON FERMIN S R L|01/02/2015|RS R.S.395-2014|
20231190644|DON FERNANDO SAC|01/11/2012|RS R.S.228-2012|
20525329730|DON LIMON S.A.C|01/09/2016|RS R.S.180-2016|
20439320126|DON POLLO LA LIBERTAD SAC|01/12/2011|RS R.S.257-2011|
20451060393|DON POLLO LORETO S.A.C.|01/02/2015|RS R.S.395-2014|
20450497950|DON POLLO TROPICAL S.A.C.|01/02/2015|RS R.S.395-2014|
20100134021|DOW PERU S.A.|01/09/2016|RS R.S.180-2016|
20513462388|DP WORLD CALLAO S.R.L.|01/01/2010|RS R.S.265-2009|
20100010217|DP WORLD LOGISTICS S.R.L.|01/06/2002|RS R.S.037-2002|
20518762614|DRACOTEX S.A.C.|01/03/2014|RS R.S.378-2013|
20538597121|DRAEGER  PERU   S.A.C.|01/06/2017|RS R.S.095-2017|
20507165461|DRESDEN S.A.|01/09/2016|RS R.S.180-2016|
20105352477|DROGUERIA Y DISTRIB COMERC OMEGA SRLTDA|01/03/2014|RS R.S.378-2013|
20492307883|DROGUERIA Y DISTRIBUIDORA DICAR S.A.C.|01/11/2012|RS R.S.228-2012|
20262786511|DROKASA PERU S.A.|01/06/2002|RS R.S.037-2002|
20513958839|DRRP SOCIEDAD ANONIMA CERRADA - DRRP S.A.C.|01/07/2015|RS R.S.139-2015|
20524538793|DSI UNDERGROUND PERU S.A.C|01/09/2016|RS R.S.180-2016|
20546128424|DSM MARINE LIPIDS PERU S.A.C.|01/11/2012|RS R.S.228-2012|
20504299628|DSM NUTRITIONAL PRODUCTS PERU S.A|01/02/2004|RS R.S. 008-2004|
20600324421|DULCE MODA EIRL|01/09/2016|RS R.S.180-2016|
20208407148|DUNA CORP S A|01/03/2014|RS R.S.378-2013|
20522088073|DUPREE VENTA DIRECTA S.R.L.|01/11/2012|RS R.S.228-2012|
20522109178|DXN INTERNATIONAL PERU S.A.C.|01/12/2019|RS R.S.203-2019|
20503253853|E & J MATTHEI MADERAS DEL PERU S.A|01/07/2015|RS R.S.139-2015|
20549078932|E & M ESTILOS Y TENDENCIAS S.A.C.|01/09/2016|RS R.S.180-2016|
20251357413|E & M S.R.L.|01/10/2005|RS R.S.174-2005|
20257676910|E D & F MAN PERU S.A.C.|01/06/2012|RS R.S.096-2012|
20387418882|E Y C METALIKAS SOCIEDAD ANONIMA CERRADA|01/06/2012|RS R.S.096-2012|
20474529291|E-BUSINESS DISTRIBUTION PERU S.A.- EBD PERU S.A.|01/07/2015|RS R.S.139-2015|
20506804524|E.F. CONTRATISTAS S.A.C.|01/03/2014|RS R.S.378-2013|
20124148970|EAFC MAQUISISTEMA S.A.|01/06/2002|RS R.S.037-2002|
20102097069|ECCO CENTER SOCIEDAD ANONIMA CERRADA|01/06/2012|RS R.S.096-2012|
20483894814|ECO - ACUICOLA SOCIEDAD ANONIMA CERRADA|01/05/2011|RS R.S.082-2011|
20450714721|ECO CONSTRUCCION S.A.C.|01/09/2016|RS R.S.180-2016|
20516705826|ECO PROYEC PERU SOCIEDAD ANONIMA CERRADA - ECOPP SAC|01/09/2016|RS R.S.180-2016|
20523354851|ECO-RIN S.A.C.|01/09/2018|RS R.S.182-2018|
20492125939|ECOCOPTER PERU S.A.|01/03/2014|RS R.S.378-2013|
20102314698|ECONOGAS S.R.LTDA.|01/11/2012|RS R.S.228-2012|
20519734614|ECOP S.A.C.INGENIERIA Y CONSTRUCCION|01/09/2016|RS R.S.180-2016|
20566030188|ECOPACKING CLAMSHELLS S.A.|01/09/2016|RS R.S.180-2016|
20530184596|ECOSAC AGRICOLA S.A.C.|01/07/2015|RS R.S.139-2015|
20109195848|ED&F MAN VOLCAFE PERU S.A.|01/07/2015|RS R.S.139-2015|
20506285586|EDGEWELL PERSONAL CARE PERU S.A.|01/08/2006|RS R.S.091-2006|
20307235545|EDICIONES COREFO S.A.C.|01/02/2015|RS R.S.395-2014|
20522164781|EDIFICA CONSTRUCTORES SOCIEDAD ANONIMA CERRADA|01/02/2015|RS R.S.395-2014|
20511988757|EDIFICACIONES INMOBILIARIAS S.A.C.|01/11/2012|RS R.S.228-2012|
20505642156|EDIFICADORA DE DISE�O Y CONSTRUCCION SAC|01/07/2015|RS R.S.139-2015|
20438563084|EDPYME ACCESO CREDITICIO SOCIEDAD ANONIMA|01/02/2015|RS R.S.395-2014|
20504644074|EECOL ELECTRIC PERU S.A.C.|01/12/2011|RS R.S.257-2011|
20546406688|EGASA PERU S.A.C.|01/06/2017|RS R.S.095-2017|
20514486183|EGP COMUNICACIONES S.A.C|01/07/2015|RS R.S.139-2015|
20552185286|EITAL EDIFICACIONES SOCIEDAD ANONIMA CERRADA|01/07/2015|RS R.S.139-2015|
20552184981|EITAL INGENIERIA Y CONSTRUCCION SOCIEDAD ANONIMA CERRADA|01/02/2015|RS R.S.395-2014|
20557917757|EJAYSA SOCIEDAD ANONIMA CERRADA - EJAYSA S.A.C.|01/09/2018|RS R.S.182-2018|
20131369124|EJERCITO PERUANO|01/11/2002|RS R.S.135-2002|
20395263952|EL AGUILA SRL|01/03/2014|RS R.S.378-2013|
20486042932|EL ARABE SOCIEDAD ANONIMA|01/03/2014|RS R.S.378-2013|
20287944528|EL BOSQUE EMPRESA INDIVIDUAL DE R LTDA|01/07/2015|RS R.S.139-2015|
20389715060|EL COMEDERO S.R.L.|01/02/2015|RS R.S.395-2014|
20100174911|EL MODELADOR S A|01/06/2002|RS R.S.037-2002|
20408869588|EL MUNDO DE LA FANTASIA S.R.LTDA.|01/02/2015|RS R.S.395-2014|
20410312396|EL OASIS DE ICA S.A.C.|01/11/2012|RS R.S.228-2012|
20336183791|EL PEDREGAL S.A|01/02/2004|RS R.S. 008-2004|
20204844381|EL ROCIO S.A.|01/02/2003|RS R.S.181-2002|
20100108705|EL S A|01/06/2002|RS R.S.037-2002|
20271779721|EL SUPER S.A.C.|01/06/2012|RS R.S.096-2012|
20256265916|ELECNOR PERU S.A.C.|01/06/2017|RS R.S.095-2017|
20502846460|ELECTRICAS DE MEDELLIN PERU S.A|01/11/2012|RS R.S.228-2012|
20100466458|ELECTRO ARTEAGA SRL|01/09/2016|RS R.S.180-2016|
20117330347|ELECTRO CONDUCTORES PERUANOS S.A.C|01/06/2012|RS R.S.096-2012|
20106156400|ELECTRO DUNAS S.A.A.|01/03/2014|RS R.S.378-2013|
20503141389|ELECTRO FERRO CENTRO S.A.C. - EFC SAC|01/06/2012|RS R.S.096-2012|
20510973942|ELECTRO INDUSTRIAL SOLUTIONS S.A|01/09/2016|RS R.S.180-2016|
20116544289|ELECTRO SUR ESTE S.A.A.|01/02/2003|RS R.S.181-2002|
20510579454|ELECTROANDINA INDUSTRIAL S.A.C.|01/11/2012|RS R.S.228-2012|
20129646099|ELECTROCENTRO S.A.|01/02/2003|RS R.S.181-2002|
20100073308|ELECTROLUX DEL PERU S.A.|01/06/2002|RS R.S.037-2002|
20102708394|ELECTRONOROESTE S.A|01/02/2003|RS R.S.181-2002|
20383380643|ELEKTRA DEL PERU S.A. EN LIQUIDACION|01/06/2002|RS R.S.037-2002|
